08/04/2023	15:37:00	188b538e-dac0-4462-bcf6-1c02f3528e69	GET 	undefined 	/teste
08/04/2023	15:37:22	99774f96-19ac-4d0d-a7dd-3ed37403b6ee	GET 	undefined 	/teste
08/04/2023	15:37:41	f92cd6e7-2039-49aa-b531-8a9177275730	GET 	undefined 	/teste
08/04/2023	15:37:44	fd321959-e40e-4583-a445-809a218cba1d	GET 	undefined 	/login
08/04/2023	15:37:44	c819f252-8ecc-4bce-b1a9-ba8abb00bc2b	GET 	undefined 	/css/style.css
08/04/2023	15:40:00	045b3b84-acbc-42a7-8c75-6acc0710eae7	GET 	undefined 	/
08/04/2023	15:40:00	613da8b4-2347-4ca2-ade3-8efd31006c31	GET 	undefined 	/css/style.css
08/04/2023	15:40:07	6a5d2d5a-d50e-43da-8016-6f5237cc954b	GET 	undefined 	/
08/04/2023	15:40:07	ba8bbab7-6fb7-4689-a459-3c44359f20b0	GET 	undefined 	/css/style.css
08/04/2023	15:43:21	0b50e112-84da-4944-a240-0a15aba7f0e1	GET 	undefined 	/login
08/04/2023	15:43:21	15afce44-24d7-451b-a122-3415eba95fcf	GET 	undefined 	/css/style.css
08/04/2023	15:43:48	0853cfed-1f8b-4ac1-aabf-09c9bd69615e	GET 	undefined 	/
08/04/2023	15:43:48	9a74c9c2-cf38-4fd1-975b-3e95b8247a1f	GET 	undefined 	/css/style.css
08/04/2023	15:43:58	06f3cd4a-e8dc-4769-84ef-7d849b488442	GET 	undefined 	/subdir
08/04/2023	15:43:58	d7a6cefd-64ff-4968-a698-54dd2c2038b1	GET 	undefined 	/css/style.css
08/04/2023	15:47:35	0f81eca1-0dcd-4161-93be-18d72a381043	GET 	undefined 	/
08/04/2023	15:47:35	7ac45552-d080-4d4b-a227-915cb0b14a0a	GET 	undefined 	/css/style.css
08/04/2023	15:47:46	239b995d-a6f5-4525-b946-074e0459b31f	GET 	undefined 	/new-page
08/04/2023	15:47:46	48e50873-c45b-448d-a8ab-50caa9b05d1f	GET 	undefined 	/img/img1.png
08/04/2023	15:47:46	ce375b73-46dc-4fda-86c3-a6e39cdf8bb1	GET 	undefined 	/css/style.css
08/04/2023	15:47:56	0a6d3da7-5489-48ec-b18e-c58f5217933b	GET 	undefined 	/old-page
08/04/2023	15:47:56	eef7db9f-19cc-4473-bb76-ebec1464f450	GET 	undefined 	/new-page.html
08/04/2023	15:48:23	7ed1a6d0-02e6-4cdc-9b86-083341f7e800	GET 	undefined 	/new-page
08/04/2023	15:48:23	cecfdead-6b8a-4c14-ac33-1ad62fbe1d4c	GET 	undefined 	/css/style.css
08/04/2023	15:48:23	8ab88171-e4b7-4517-b5d7-81a458c1c323	GET 	undefined 	/img/img1.png
08/04/2023	15:48:35	dfb0e05a-0197-4bb6-ae09-6f64c97c82fe	GET 	undefined 	/new-page.html
08/04/2023	15:49:20	819854ee-cf83-4813-8119-74e8fd256429	GET 	undefined 	/new-page.html
08/04/2023	15:49:20	0f79d832-2223-4883-b4df-ffbc46495967	GET 	undefined 	/css/style.css
08/04/2023	15:49:20	df7a1afa-109b-4abf-b108-011fa45b47e6	GET 	undefined 	/img/img1.png
08/04/2023	15:49:30	d9ca6a35-3959-49fd-ad30-23bcbbabb437	GET 	undefined 	/new-page.html
08/04/2023	15:49:30	0d585d20-0079-4fe6-82fa-dabebeb0b4bf	GET 	undefined 	/css/style.css
08/04/2023	15:49:30	037a8874-536f-47b4-9680-69a263e43089	GET 	undefined 	/img/img1.png
08/04/2023	16:31:23	4676cf86-2b56-408d-a548-66a3acc237bd	GET 	undefined 	/
08/04/2023	16:31:23	4ee2b949-1451-4eb7-b207-9125196b9ef6	GET 	undefined 	/css/style.css
08/04/2023	16:31:41	5730e341-c16c-4e9f-92de-031cdcd0601c	GET 	undefined 	/employees
08/04/2023	16:32:56	a68ee0af-f8cb-4273-b37e-668ccea700d2	POST 	undefined 	/employees
08/04/2023	16:35:42	f88a7ee6-884c-4eb0-bb9d-d10cdc58ff2e	PUT 	undefined 	/employees
